Area,OOP,GIDE,RDP,GIDE1:1,FOP
0.02,17.15529503,16.43419526,16.43419526,16.29029666,16.20299342
0.04,18.37280924,17.14333323,17.14333323,16.53069301,16.33653703
0.06,18.62436397,17.65751183,17.65751183,16.76180558,16.38706222
0.08,18.6693546,18.10884637,18.10884637,17.02576844,16.40241616
0.1,18.6693546,18.51768977,18.45484572,17.29785461,16.40241616
0.12,18.6693546,18.6435564,18.58883566,17.60555837,16.40241616
0.14,18.6693546,18.6693546,18.65587526,17.87496652,16.40241616
0.16,18.6693546,18.6693546,18.66462344,18.22230488,16.40241616
0.18,18.6693546,18.6693546,18.66462344,18.41378284,16.40241616
0.2,18.6693546,18.6693546,18.66462344,18.53929241,16.40241616
